Survey_feedback,sentiment_label,Very Poisitve,Poisitve But Critical,Neutral,Negative,Very Negative
The roll a way and hideaway bed mattress were terrible in this room.  Hideaway was broke down   Rollaway was a box with springs sticking through it. Other wise hotel and staff superb,Negative,,,v,,
This is our favorite hotel in all our travels. When we retire we plan on using the hotel much more. Thank you.,Positive,v,,,,
The staff were awesome,Positive,v,,,,
"The room was not as clean as it has been in the past. There were areas that needed dusting, and there were smears on the Windows.",Negative,,,,v,
Comfortable beds & Pillows - slept great.,Positive,v,,,,
"Couple of items, the temperature in our room, 832, would not warm up, it was around 67 deg the entire stay. The fan ran constantly and was fairly loud. I did not mention during our stay because I didnâ€™t want the hassle of someone in and out of our room, and or having to change rooms. The next was a leak in the main roof outside of our room in the corner of the courtyard near room 832, water was dripping pretty fast. This did not effect us as it was outside our room but not a great look for the hotel. We did the buffet, the food was very mediocre, i thought the potatoes were cold and greasy. The omlettes and fruit were good. It took quite a while to get our bill even though it was it not overly crowded. if we stay here again we will not eat the buffet. As long as I am filling this out I will mention the parking, validating the parking all the time is a pain, canâ€™t it somehow be piggyback with the room key.",Negative,,,,,v
"The food in the restaurant was over salted, under cooked and some of it was cold. We waited for more than an hour to be served once our order was placed. The staff was nice and the manager came out and apologized but never once did he ever offer us any sort of compensation. Maybe a free dessert or drinks or even a % off the bill.  Unsatisfactory, will not eat there again, they have lost our service for stays in the future.",Negative,,,,,v
"We ordered room service - which we rarely do.  When we checked out, we were surprised there was a $13.19 buffet charge on our $43.80 breakfast room service bill (for which we had a receipt).  Not sure if someone erroneously charged a buffet meal to our room or ???  It was corrected, but in the future we probably won't put our credit card on file for ""incidentals"" to avoid this.  Also, hoping the room we were in will get its table back.  Was awkward to eat without it.",Negative,,,,v,
Disappointed that someone knocked on our door Christmas morning @ 8:06 am to clean room. We told them to come back. Then we also told the front desk attendant that we would like our room cleaned while we were out for a good 7 hours from 11AM to 6 PM. We came back to an unattended room.   We checked in on Sunday before Christmas  and left Wednesday after Christmas .,Negative,,,,v,
I was so happy you let dogs stay!  My dog is cleaner than my infant and think $100 per stay is still too much.,Neutral,,,v,,
"Wonderful stay!  We stopped in the bar our first night and it was pretty dead in there (right before Christmas), but the bartender was awesome and we all watched Elf together :)
The room was great as usual, just like I remembered from my childhood, but updated!
We didn't have the breakfast there because it's a bit different than we remembered.  It's now an additional charge to the room and the set up is different.  I'm sure it's tasty but we opted out of it.",Positive,v,,,,
I wasnâ€™t notified about $7 parking fee until check in. Couldnâ€™t find anything about it on website nor was the info provided when making the reservation. This is first experience Iâ€™ve had with any hotel where they werenâ€™t upfront about parking costs online and during reservation process.,Negative,,,,,v
"We specifically asked at check in what time breakfast was served and the desk person said 7 am to 10 am.  We got to the buffet at 9:30 the next morning and we're told it cloed at 9:30 and they would not serve us.  When I complained at checkout the girl at the desk said, ""I'm sorry about that.  Our breakfast is really good!"". Not pleased with the misinformation and the response I got.",Negative,,,,v,
Great room.,Positive,v,,,,
Our favorite hotel in Green Bay. We have stayed here more than any hotel we've ever frequented. It has everything we need and is in close proximity to everything we want to do.,Positive,v,,,,
Will be staying again 12/28/18  Could use 2 extra pillows.. We are big pillow people.. usually other places have 2 extra tucked away in closet. But not here.. All else good.. See you on the 28th..;)  And did not show up on bed bug list...  Important..,Neutral,,,v,,
"Our visit  was an annual family Christmas stay, a big splurge for us!  Everyone enjoys the comforts of the Hyatt. Unfortunately this year the hot tub was cold and did not get to enjoy it. One of the big things looked forward to using during our stay.",Negative,,,,v,
"Thanks.  Biggest issue I had was that my room was immediately off the elevator bank.  Because the elevators still have the old fashioned bell/ding when selecting the floor in the elevator and audible from the elevator lobby, I was constantly hearing it in my room as well.  I could even hear it from the bedroom.  Isn't there a way to upgrade the notifier system to use a more discreet or subtle ring?",Negative,,,,v,
Great location and wonderful spacious rooms.,Positive,v,,,,
"upgrading to higher, elongated toilets would be a great upgrade in the bathrooms",Neutral,,,v,,
"Incredible room for the money! Nice perks in the room, too. Only complaint would be wish staff would have understood more about what they offered for breakfast. Was disappointed at the lack of a continental breakfast.",Positive,,v,,,
"This was the worst stay I have ever had!  Room 330 should not be available to your guests! Also who ever was at the front desk on the night of 12/14/18 and 12/15/18 early morning should be fired. The noise in the main hotel area went on until 11:30 that night and the outside noise until 2:00 am. I understand this is Green Bay were most people don't have a clue! But really, this is a Hyatt Regency!",Negative,,,,,v
The choice of TV stations was lacking....,Negative,,,,v,
"Our room was clean, comfortable........very happy with our room.",Positive,v,,,,
"The temperature of the hot tub needs to be turned up, other that that, we were pleased with everything else.",Neutral,,,v,,
"check in staff was great, place was beautiful.  Check in staff did tell us to bring parking ticket in to get validated, told her we left it in car, she said we needed it, so the next morning we went to the car and brought it in, waited in line for same girl to tell us we didn't need to validate on the weekend, so that is one area that could be improved, all told about a 20 minute waste of time.   Room was great, nice set up.  Upon walking in the first thing we saw was a dirty cleaning rag left over the chair back.  There was also urine on the bottom of the toilet on the side, but otherwise clean.",Negative,,,,v,
The customer service staff are very friendly during check-in. Lindsay has been extremely helpful for all of my stays this year when booking my rooms.  Very accommodating when changes needed to be made. Emma has been very helpful with my room requests as well.  She really does well.,Positive,v,,,,
"Great spot. A bit of a ""seasoned"" property but it is well maintained. Parking and validation could improve by using the door key as the in/ out ticket.",Positive,,,v,,
Why no coffee anywhere in the hotel until after 7:00 on a Saturday morning?,Negative,,,,v,
The hotel was dark and cold and very dated. I could not believe this was a Hyatt property. Even the lobby was cold.,Negative,,,,v,
"As a business hotel with corporate rates would be awesome to have breakfast before 6:30 am, but otherwise the prices of the market was reasonable though maybe a coupon to those who check it before breakfast which is included in the rate would be appreciated.",Positive,,,v,,
"Great service, great staff, great stay!",Positive,v,,,,
"Room service food options were very limited at dinner time. I have both gluten and dairy issues - leaving little to chose from.  Knowing 333 has more to offer, it would be great if the room service delivery could reflect more of those offerings.",Positive,,,,v,
lovely hotel..staff was awesome!!! I would definitely stay there again..love the place..thx,Positive,v,,,,
Prompt room service and courteous front desk.,Positive,v,,,,
very welcomed and treated well,Positive,v,,,,
My favorite place to stay when in the Green Bay area.,Positive,v,,,,
Nice Hotel.  But the common area was loud.  Which was surprising since the hotel seemed empty.  Again no offer for an upgrade at this property for Globalist.  In fact my Bedroom TV wasn't even the typical large TV.  It was like a Computer Monitor.  Just surprised I never get an offer at this property.  Free Parking was nice and the Breakfast was good as well.,Positive,,,v,,
"I made the reservation for Wednesday 12-5 showed up on 12-5 and the check in said I was a NO SHOW last night 12-4. I said sorry the reservation was for 12-5 not 12-4. He indicated he corrected the Hyatt system and I would not be charged for the 12-4 no show. As I checked out I was charged for the NO SHOW and the 12-5 night I stayed. I had to go through the entire process all over again and will be looking for the credit on my account.

The buffet breakfast was the WORST I have experienced in a long time. Bad eggs, Bad cereal selections, un ripe fruit bad service, stale bread. A Very lame attempt at breakfast.",Negative,,,,,v
Wonderful stay - excellent accommodations and stellar service!,Positive,v,,,,
"Cleanliness room can be improved, Bathroom floor specifically had hair.",Positive,,,,v,
The price of the breakfast and the charge for parking were surprisingly high.  I would have expected the hotel to validate parking at least.,Positive,,,,v,
Almost everything was great. The room was spacious and well appointed. The only issue we had was with the temperature. When we got to the room it was 72 degrees so I tried to turn it down to 65. After about a hour my husband looked at the thermostat and it was at 74 so it was going up instead of down. We called the front desk and were told that they would have to contact the engineers to turn the heat off to our room and they gave us a fan. I assumed that it would be taken care of the next day but no luck. Thankfully the fan was large and did the job while we were sleeping!,Positive,,v,,,
"Bed could be a little more comfortable. And, need real refrigerators, not these 45 degree â€œcoolersâ€",Positive,,v,,,
