Feedback,Sentiment,Tone,Reply
The roll a way and hideaway bed mattress were terrible in this room.  Hideaway was broke down   Rollaway was a box with springs sticking through it. Other wise hotel and staff superb,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your feedback about our accommodations during your stay at our hotel. We sincerely apologize for any discomfort or inconvenience caused by the condition of the roll-away and hideaway beds in Room [Number]. We understand that a comfortable sleep is essential for an enjoyable stay, and we regret falling short in providing that comfort on this occasion.
We appreciate your bringing this matter to our attention so that we can investigate and take corrective action promptly. Our maintenance team will inspect the roll-away and hideaway beds immediately and replace them if necessary. In addition, they will ensure that these items are properly maintained moving forward.
Once again, thank you for your valuable input. Your satisfaction is our top priority, and we hope that future stays with us will meet all of your expectations. If there's anything else you need assistance with while here, please don't hesitate to contact us"
This is our favorite hotel in all our travels. When we retire we plan on using the hotel much more. Thank you.,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your kind words and praise for our hotel. It truly means the world to us that our service has made such an impact during your stay, and we're honored to be your preferred choice among all hotels in your travel experiences. We appreciate your thoughtful note and look forward to welcoming you again when you retire. May this special place continue to provide cherished memories!
Best Regards,
[Your Name] - Hotel Guest Relations Assistant"
The staff were awesome,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your kind words about our team. We're absolutely thrilled to hear that they made your stay enjoyable and memorable! Our staff members strive every day to provide exceptional service, and it means a lot to us when we receive such positive feedback. Please extend our gratitude to them if possible, as their dedication is truly appreciated. If there's anything else we can assist with during your visit or should you have any suggestions for further improvement, please don't hesitate to let us know.
Wishing you an outstanding rest of your trip!
Best regards,
[Your Name]
Hotel Guest Relations Assistant"
"The room was not as clean as it has been in the past. There were areas that needed dusting, and there were smears on the Windows.",Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your experience with us. We sincerely apologize for any inconvenience or disappointment caused during your stay. It is our top priority to ensure every guest enjoys a clean and comfortable environment, and we regret falling short of this standard.
We have noted your concerns regarding dusty areas and smudges on windows in your room. Our housekeeping team will be immediately addressing these issues to prevent such occurrences moving forward. In addition, they will conduct an extensive cleaning and tidying process to rectify the situation promptly.
To make amends for this oversight, we would like to offer a complimentary amenity of your choice upon your next visit – whether it's a spa treatment, dinner at our restaurant, or something else that may interest you. Please let us know how best we can enhance your future stays here.
Once again, we deeply appreciate your valuable feedback"
Comfortable beds & Pillows - slept great.,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your experience with us! We're thrilled to hear that our comfortable beds and pillows contributed to a good night's sleep during your stay. Our team works hard to ensure every aspect of your visit is enjoyable, so we're particularly pleased when we can help make rest easy. If there's anything else you need or would like to know about our amenities, please don't hesitate to ask. Looking forward to welcoming you back soon!
Best Regards, [Your Name] Hotel Guest Relations Team"
"Couple of items, the temperature in our room, 832, would not warm up, it was around 67 deg the entire stay. The fan ran constantly and was fairly loud. I did not mention during our stay because I didn’t want the hassle of someone in and out of our room, and or having to change rooms. The next was a leak in the main roof outside of our room in the corner of the courtyard near room 832, water was dripping pretty fast. This did not effect us as it was outside our room but not a great look for the hotel. We did the buffet, the food was very mediocre, i thought the potatoes were cold and greasy. The omlettes and fruit were good. It took quite a while to get our bill even though it was it not overly crowded. if we stay here again we will not eat the buffet. As long as I am filling this out I will mention the parking, validating the parking all the time is a pain, can’t it somehow be piggyback with the room key.",Slightly Negative,understanding and mildly apologetic,"Dear Guest,
Thank you for taking the time to share your experience with us. We're truly sorry to hear about the issues you encountered during your stay at our hotel in Room 832.
Firstly, regarding the heating issue in your room, we deeply apologize for any discomfort caused due to an improper room temperature. Our team will thoroughly investigate the matter and take immediate action to ensure such occurrences do not happen again. In case you need assistance adjusting the thermostat in future stays, please don't hesitate to contact our front desk.
We also acknowledge the noise level from the fan and understand that it may have affected your sleep quality. Rest assured, we will replace the unit with a quieter model to enhance your overall comfort.
Regarding the leaking roof in the courtyard, we sincerely apologize for any aesthetic impact this might have had on your stay. Our maintenance department has already"
"The food in the restaurant was over salted, under cooked and some of it was cold. We waited for more than an hour to be served once our order was placed. The staff was nice and the manager came out and apologized but never once did he ever offer us any sort of compensation. Maybe a free dessert or drinks or even a % off the bill.  Unsatisfactory, will not eat there again, they have lost our service for stays in the future.",Negative,apologetic and solution-focused,"Dear Guest,
Thank you for taking the time to share your recent dining experience at our restaurant with us. I'm truly sorry to hear that the meal did not meet your expectations. It is unfortunate when dishes may be undercooked, over-seasoned, or served cold, as we strive to provide every guest with high-quality meals prepared to their satisfaction. Additionally, waiting for extended periods can understandably impact the overall enjoyment of one's dining experience.
I appreciate your kind words about the hospitality displayed by our team members; however, it seems that the lack of follow-up action on this matter left you feeling unattended to. Our policy includes offering compensations such as complimentary items or discounts on the bill when issues like these arise, so I am disappointed to learn that this wasn't extended during your visit. Rest assured, we will address this oversight internally to ensure that guests receive appropriate care moving forward."
"We ordered room service - which we rarely do.  When we checked out, we were surprised there was a $13.19 buffet charge on our $43.80 breakfast room service bill (for which we had a receipt).  Not sure if someone erroneously charged a buffet meal to our room or ???  It was corrected, but in the future we probably won't put our credit card on file for ""incidentals"" to avoid this.  Also, hoping the room we were in will get its table back.  Was awkward to eat without it.",Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your experience with us. I appreciate your honesty and am sorry to hear about the confusion regarding the unexpected charge on your room service bill during your stay.
I understand that finding such an error can be concerning, especially when it involves charges to your account. Please know that we take these matters very seriously and have thoroughly investigated the issue. Our records indicate that the buffet charge was indeed an error and has been promptly rectified. Rest assured, we value your satisfaction above all else and apologize sincerely for any inconvenience caused.
As for the missing table in your room, I completely agree that it would make dining more enjoyable. I've passed along your suggestion to our housekeeping team so they may ensure tables are returned post-cleaning where applicable. Thank you again for bringing this to our attention – it helps us improve!
We always aim to provide a seamless and"
Disappointed that someone knocked on our door Christmas morning @ 8:06 am to clean room. We told them to come back. Then we also told the front desk attendant that we would like our room cleaned while we were out for a good 7 hours from 11AM to 6 PM. We came back to an unattended room.   We checked in on Sunday before Christmas  and left Wednesday after Christmas .,Very Negative,deeply apologetic and committed to resolution,"Dear Guest,
Thank you for taking the time to share your experience with us during your recent stay at our hotel. We sincerely apologize for any inconvenience caused by the early cleaning service visit on Christmas Morning. It is never our intention to disrupt guests' peaceful moments or celebrations.
We understand your preference for having your room serviced during specific hours, which was communicated both through the note left in your room and the conversation with our front desk staff member. Unfortunately, it appears there may have been a miscommunication between teams regarding your requested schedule.
To make up for this oversight, we would be delighted to offer you a complimentary upgrade to a premium suite for the remainder of your stay as well as a $50 dining credit for one of our restaurants. In addition, we will ensure all team members involved are made aware of this incident so they can better understand our guests' preferences when scheduling housekeeping services moving forward."
I was so happy you let dogs stay!  My dog is cleaner than my infant and think $100 per stay is still too much.,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your valuable feedback with us. We're thrilled to hear that our pet-friendly policy has contributed to an enjoyable stay at our hotel for both you and your furry companion. Your kind words have truly made our day!
Regarding the cost associated with bringing pets, we understand that every family has unique needs when traveling, and we strive to accommodate those requirements while maintaining a high level of service for all guests. The fee charged covers additional cleaning efforts required due to having pets on premises, as well as providing amenities tailored specifically to their needs. However, rest assured that if there were any ways we could further reduce this charge without compromising on quality or comfort, we would be more than willing to explore options.
We appreciate your understanding and look forward to welcoming you back soon with even more reasons to smile! If you have any other suggestions or concerns, please don't hes"
