Feedback,Sentiment,Tone,Reply
The roll a way and hideaway bed mattress were terrible in this room.  Hideaway was broke down   Rollaway was a box with springs sticking through it. Other wise hotel and staff superb,Neutral,balanced and professional,"Dear Guest,
Thank you for taking the time to share your valuable feedback about our accommodations during your stay. I'm truly sorry to hear that the experience with our roll-away and hideaway beds fell short of expectations. We strive to ensure all our guests have a comfortable sleep, and it appears we failed in that regard on this occasion.
I understand there were issues with both beds – the hideaway being broken down and the rollaway having visible springs. Our team will address these concerns promptly so future guests can enjoy a more pleasant night’s rest.
On a positive note, please accept my sincere appreciation for recognizing the high level of service provided by our dedicated staff members throughout your visit. Your kind words mean a lot to us and inspire us to maintain those standards consistently across all aspects of our services.
Once again, thank you for bringing this matter to our attention, and I hope to welcome you back soon when we"
This is our favorite hotel in all our travels. When we retire we plan on using the hotel much more. Thank you.,Very_Positive,professional and courteous,"Dear Valued Guest,
Thank you for taking the time to share your kind words about your recent stay with us. We are thrilled to hear that we have become one of your favorites during your many travels and we appreciate your positive review. It brings great pleasure knowing that we were able to provide an enjoyable experience for you during your visit.
We look forward to welcoming you back again and again as you continue your adventures, especially when it comes time for retirement. May we suggest joining our loyalty program to ensure special perks and discounts for future stays? Once again, thank you for choosing us and making us part of your travel memories.
Warm Regards,
[Your Name]
Guest Relations Assistant"
The staff were awesome,Very_Positive,professional and courteous,"Dear Guest,
Thank you so much for your kind words about our team! We're thrilled to hear that you found them awesome and we appreciate your positive feedback. Our staff works tirelessly to ensure every guest has an enjoyable stay with us, and it means a lot when they receive such glowing reviews like yours.
Please know that your experience is important to us, and we will continue striving to provide exceptional service during your future visits as well. Once again, thank you for choosing [Hotel Name] and for taking the time to share your thoughts with us. We look forward to welcoming you back soon!
Best regards,
[Your Name]
Guest Relations Assistant
[Hotel Name]"
"The room was not as clean as it has been in the past. There were areas that needed dusting, and there were smears on the Windows.",Negative,apologetic and solution-focused,"Dear Guest,
Thank you for taking the time to share your feedback with us regarding your recent stay at our establishment. We appreciate your honesty and value your insights greatly as they help us maintain high standards of service. I'm sorry to hear about the cleaning issue you encountered during your visit; we strive to ensure every room meets our guests' expectations for cleanliness.
Upon receiving this information, we have taken immediate steps to address the concerns raised in your review. Our housekeeping team will be undergoing additional training to focus specifically on dusting all surfaces thoroughly and ensuring windows are cleaned more effectively moving forward. Your experience is important to us, and we want to make sure each aspect of your stay exceeds your expectations.
In addition, as an apology for any inconvenience caused, we would like to offer you a complimentary upgrade to one of our premium rooms during your next visit or extend a 20% discount on your next"
Comfortable beds & Pillows - slept great.,Very_Positive,professional and courteous,"Dear Guest,
We're absolutely delighted to hear that you found our beds and pillows comfortable enough for a restful night's sleep! It's always wonderful to know that we've been able to provide you with such an essential part of your stay. We take pride in ensuring each room is equipped with top-quality bedding materials so our guests can feel refreshed upon waking up. Thank you for sharing this positive feedback – it truly means a lot to us! Should there be anything else you need during your stay or if you have any suggestions on how we could further improve, please don't hesitate to let us know. Enjoy the remainder of your time at our hotel!
Best Regards,
[Your Name]
Hotel Guest Relations Assistant"
"Couple of items, the temperature in our room, 832, would not warm up, it was around 67 deg the entire stay. The fan ran constantly and was fairly loud. I did not mention during our stay because I didnâ€™t want the hassle of someone in and out of our room, and or having to change rooms. The next was a leak in the main roof outside of our room in the corner of the courtyard near room 832, water was dripping pretty fast. This did not effect us as it was outside our room but not a great look for the hotel. We did the buffet, the food was very mediocre, i thought the potatoes were cold and greasy. The omlettes and fruit were good. It took quite a while to get our bill even though it was it not overly crowded. if we stay here again we will not eat the buffet. As long as I am filling this out I will mention the parking, validating the parking all the time is a pain, canâ€™t it somehow be piggyback with the room key.",Very Negative,deeply apologetic and committed to resolution,"Dear Guest,
Thank you for taking the time to share your experience with us. I'm truly sorry about the issues encountered during your stay at our hotel. Let me address each point raised:
1. Room Temperature & Fan Noise: I apologize for the inconvenience caused by the cooler temperatures and noisy fan in room 832. Our maintenance team should have ensured a comfortable environment for guests. To prevent future occurrences, they will inspect and adjust the heating system accordingly.
2. Roof Leakage: I appreciate your understanding regarding the minor leak in the courtyard. While it did not impact your stay, we understand that it may have affected other guests or created an undesirable impression. Rest assured, we are aware of this matter and plan to repair the damaged area promptly.
3. Buffet Quality: Thank you for providing valuable insights into the quality of our buffet offer"
"The food in the restaurant was over salted, under cooked and some of it was cold. We waited for more than an hour to be served once our order was placed. The staff was nice and the manager came out and apologized but never once did he ever offer us any sort of compensation. Maybe a free dessert or drinks or even a % off the bill.  Unsatisfactory, will not eat there again, they have lost our service for stays in the future.",Very Negative,deeply apologetic and committed to resolution,"I'm truly sorry to hear about your recent dining experience at our restaurant. It sounds like we fell short in several areas – the seasoning, cooking temperature, and serving speed. We value your feedback greatly and understand that these issues significantly impacted your meal enjoyment.
I'd also like to acknowledge the kindness shown by our team members despite the challenges faced during your visit. However, I agree that offering a form of compensation would have been appropriate given the circumstances. In the future, we aim to make things right when situations arise so that guests can continue to have enjoyable experiences here.
Rest assured, I have passed along this valuable information to our management team. They take your concerns seriously and will work diligently to improve upon our current standards to ensure a better culinary journey for all our valued guests. Thank you once again for taking the time to share your thoughts; your feedback helps us grow and serve you better.
Wishing you delicious meals ahead!"
"We ordered room service - which we rarely do.  When we checked out, we were surprised there was a $13.19 buffet charge on our $43.80 breakfast room service bill (for which we had a receipt).  Not sure if someone erroneously charged a buffet meal to our room or ???  It was corrected, but in the future we probably won't put our credit card on file for ""incidentals"" to avoid this.  Also, hoping the room we were in will get its table back.  Was awkward to eat without it.",Negative,apologetic and solution-focused,"I appreciate you taking the time to share your experience with us, especially regarding the unexpected charge on your room service bill during your recent stay. I apologize for any inconvenience that may have caused. Upon reviewing your case, it appears there was indeed an error made in the billing process. Rest assured, we've taken steps to ensure similar incidents don't happen again so you can enjoy a seamless dining experience when ordering from our room service.
Regarding the missing table in your room, I completely understand how it might have affected your dining experience. Our housekeeping team should already be aware of this issue; they will make sure to restore the table promptly so that your next visit is more comfortable. Thank you once again for bringing these matters to our attention, and please know that your satisfaction remains our top priority. We look forward to serving you better in the future!"
Disappointed that someone knocked on our door Christmas morning @ 8:06 am to clean room. We told them to come back. Then we also told the front desk attendant that we would like our room cleaned while we were out for a good 7 hours from 11AM to 6 PM. We came back to an unattended room.   We checked in on Sunday before Christmas  and left Wednesday after Christmas .,Negative,apologetic and solution-focused,"I'm truly sorry to hear about your unpleasant experience during your stay. It was unfortunate that you encountered housekeeping so early on Christmas morning. While it's essential to maintain a clean environment for all guests, we understand how important personal time can be, especially during holidays.
I have taken note of your request to have your room serviced between 11 AM and 6 PM. Our team will ensure they respect this preference moving forward. Unfortunately, there seems to have been a miscommunication or oversight regarding your specific needs on this occasion.
To make up for this inconvenience, we would like to offer a small gesture as an apology—perhaps a complimentary upgrade or a discount on future stays. Please let me know if this would help alleviate some of the disappointment caused by this incident. Once again, thank you for bringing this matter to our attention, and I hope you’ll consider giving us another chance to serve you better"
I was so happy you let dogs stay!  My dog is cleaner than my infant and think $100 per stay is still too much.,Neutral,balanced and professional,"Delighted to hear that you enjoyed bringing your furry friend along during your stay! We're glad we could make it comfortable for both of you. It's wonderful to know that your pet is well-behaved and even tidier than your little one (now that's impressive)!
Regarding the pet fee, while we understand the value our guests place on their pets, we do have costs associated with maintaining a pet-friendly environment. That being said, we will certainly take this into consideration when reviewing our policies in the future. Thank you once again for sharing your thoughts; they truly help us improve our services. Looking forward to welcoming you back soon!"
