Feedback,Sentiment,Tone,Reply
The roll a way and hideaway bed mattress were terrible in this room.  Hideaway was broke down   Rollaway was a box with springs sticking through it. Other wise hotel and staff superb,Neutral,balanced and professional,"We're truly sorry about the inconvenience with our roll-away and hideaway beds during your stay. Our quality standards fell short here, especially regarding comfort. Rest assured, we've taken note of these concerns and will ensure they're addressed promptly. Thank you for appreciating our staff and overall service—we'll do better on making your sleep experience more comfortable too!"
This is our favorite hotel in all our travels. When we retire we plan on using the hotel much more. Thank you.,Very_Positive,professional and courteous,Delighted to hear such kind words! We appreciate your patronage immensely. Looking forward to serving you even better as retirement approaches. Warm regards.
The staff were awesome,Very_Positive,professional and courteous,We're thrilled to hear about your positive experience! Our team works hard to make every stay special. Thank you for recognizing their efforts. We look forward to welcoming you back soon!
"The room was not as clean as it has been in the past. There were areas that needed dusting, and there were smears on the Windows.",Negative,apologetic and solution-focused,"We're truly sorry to hear about the cleanliness issue during your stay. It seems our usual standards fell short this time around. We appreciate your detailed observation which helps us address these concerns promptly. Rest assured, we have passed along your valuable feedback to our housekeeping team who will make sure they pay special attention to window cleaning and general tidiness going forward. Thank you again for bringing this matter to our notice so we can improve."
Comfortable beds & Pillows - slept great.,Very_Positive,professional and courteous,Delighted to hear you had a restful sleep! Our team works hard to ensure our bedding meets high standards. We appreciate your positive experience and will share this feedback with them. Enjoy the rest of your stay!
"Couple of items, the temperature in our room, 832, would not warm up, it was around 67 deg the entire stay. The fan ran constantly and was fairly loud. I did not mention during our stay because I didnâ€™t want the hassle of someone in and out of our room, and or having to change rooms. The next was a leak in the main roof outside of our room in the corner of the courtyard near room 832, water was dripping pretty fast. This did not effect us as it was outside our room but not a great look for the hotel. We did the buffet, the food was very mediocre, i thought the potatoes were cold and greasy. The omlettes and fruit were good. It took quite a while to get our bill even though it was it not overly crowded. if we stay here again we will not eat the buffet. As long as I am filling this out I will mention the parking, validating the parking all the time is a pain, canâ€™t it somehow be piggyback with the room key.",Very Negative,deeply apologetic and committed to resolution,"Dear Guest,
I apologize for the inconveniences experienced during your stay at our hotel. We deeply regret the difficulty adjusting the room temperature and the noise from the fan. I understand your concern about disturbances in your room, and we appreciate your patience in not bringing it to our attention immediately. To rectify this issue, please let me know when you might return so we can address any HVAC concerns beforehand.
We also noticed the leaking roof in the courtyard by Room 832 and acknowledge its impact on appearance. Our maintenance team has been alerted to repair the leak promptly.
Regarding the buffet experience, thank you for sharing your thoughts on various dishes. While we're glad to hear you enjoyed some aspects such as omelets and fruit, we sincerely hope to improve upon other menu offerings, particularly the potatoes and overall speed of service.
Lastly, regarding validation of parking,"
"The food in the restaurant was over salted, under cooked and some of it was cold. We waited for more than an hour to be served once our order was placed. The staff was nice and the manager came out and apologized but never once did he ever offer us any sort of compensation. Maybe a free dessert or drinks or even a % off the bill.  Unsatisfactory, will not eat there again, they have lost our service for stays in the future.",Very Negative,deeply apologetic and committed to resolution,"I'm truly sorry to hear about your recent dining experience at our restaurant. Over-salting, undercooking, and serving cold dishes isn't up to our usual standards, and we deeply regret the wait as well. Our goal is always to make sure every meal leaves you satisfied and looking forward to returning.
While I understand that the apology from the manager might have helped somewhat, I'd love to discuss ways we can make this right for you. Perhaps offering a complimentary dessert, drinks, or even a discount on your next visit would help restore your confidence in our services. Could you please share your reservation details so we can follow up directly?
We value your patronage and hope you'll consider giving us another chance to impress you. Thank you for taking the time to provide constructive feedback – it helps us learn and improve!"
"We ordered room service - which we rarely do.  When we checked out, we were surprised there was a $13.19 buffet charge on our $43.80 breakfast room service bill (for which we had a receipt).  Not sure if someone erroneously charged a buffet meal to our room or ???  It was corrected, but in the future we probably won't put our credit card on file for ""incidentals"" to avoid this.  Also, hoping the room we were in will get its table back.  Was awkward to eat without it.",Negative,apologetic and solution-focused,"I'm sorry for any inconvenience caused by the unexpected buffet charge on your recent room service order. We appreciate your patience while we rectified the issue. To prevent such occurrences in the future, please let us know ahead of time if you plan to use room service so we can ensure accurate billing. Additionally, rest assured that we'll look into returning the missing table to your room as soon as possible. Thank you for bringing this matter to our attention, and we hope to serve you better during your next stay."
Disappointed that someone knocked on our door Christmas morning @ 8:06 am to clean room. We told them to come back. Then we also told the front desk attendant that we would like our room cleaned while we were out for a good 7 hours from 11AM to 6 PM. We came back to an unattended room.   We checked in on Sunday before Christmas  and left Wednesday after Christmas .,Negative,apologetic and solution-focused,"Apologies for the inconvenience caused during your stay. It was unfortunate that housekeeping interrupted your peaceful Christmas morning. We appreciate your patience when speaking with both the cleaning staff and the front desk about scheduling a more suitable time for room service.
We apologize again for missing your preference for extended cleanup hours (11 AM - 6 PM). Please accept this message as a gesture of goodwill towards making up for this oversight during your visit. We hope any future stays will meet all expectations and provide memorable experiences.
Merry belated Christmas!"
I was so happy you let dogs stay!  My dog is cleaner than my infant and think $100 per stay is still too much.,Neutral,balanced and professional,"Delighted to hear you enjoyed bringing your furry companion along! We appreciate your kind words about our pet policy. To address your concern regarding the fee, we understand this can be an additional expense, but it helps cover extra cleaning costs associated with pets. Let's discuss potential ways to offer more affordable rates while maintaining high standards for all guests. Looking forward to welcoming both you and your pup again soon!"
