Feedback,Sentiment,Tone,Reply
The roll a way and hideaway bed mattress were terrible in this room.  Hideaway was broke down   Rollaway was a box with springs sticking through it. Other wise hotel and staff superb,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your feedback about our accommodations. We sincerely apologize for the poor experience you had with our roll-away and hideaway beds during your stay. It is never our intention to provide anything less than comfortable sleeping arrangements. We understand that a good night's sleep is crucial for an enjoyable stay at our hotel.
We will immediately address this issue by replacing both of these mattresses with new ones. Our maintenance team has been informed about the problem, and they will inspect and repair the hideaway bed as well. In addition, we have requested that housekeeping pay extra attention when preparing this specific room to ensure all items are functioning properly before future guests arrive.
Rest assured, we appreciate your valuable input which helps us maintain high standards across all aspects of our services. Once again, thank you for bringing this matter to our attention, and please accept our apologies for any inconvenience caused during your"
This is our favorite hotel in all our travels. When we retire we plan on using the hotel much more. Thank you.,Very Positive,enthusiastic and grateful,"Dear Valued Guest,
Thank you immensely for your heartwarming and kind words. We're thrilled to hear that our hotel has become one of your favorites during your extensive travel experiences. It brings us immense joy knowing that we have played a small part in making your stays enjoyable and memorable.
We appreciate your loyalty and look forward to welcoming you back as often as possible during your retirement years. Our team takes great pride in providing exceptional service, and it means the world to us when guests like yourself share such positive feedback.
Please know that your continued support inspires us to strive even harder to exceed expectations and create unforgettable moments for every guest who walks through our doors.
Wishing you a wonderful rest of your journey, and we hope to see you again soon!
Best Regards,
[Your Name]
Hotel Guest Relations Assistant"
The staff were awesome,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you so much for taking the time to share your positive experience with us! We're thrilled to hear that our team members have made a great impression on you during your stay. Your kind words about their service truly brighten our day and serve as a testament to the hard work and dedication they put into ensuring every guest feels welcome and comfortable. Please extend our warmest regards to them when you see them again. We look forward to welcoming you back soon!
Best Regards, [Your Name] - Hotel Guest Relations Assistant"
"The room was not as clean as it has been in the past. There were areas that needed dusting, and there were smears on the Windows.",Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you for taking the time to share your experience with us. We sincerely apologize for any inconvenience caused by the less than satisfactory cleaning of your room during your stay. Cleanliness is of utmost importance to us, and we understand that this lapse fell short of our usual standards.
We appreciate your detailed feedback which will help us rectify the issue promptly. Our housekeeping team has already been informed about this matter, and they have taken steps to ensure all rooms meet our high-quality standards moving forward.
To make up for this oversight, we would like to offer you a complimentary upgrade to a superior room for the remainder of your stay or an additional night upon your next visit, whichever suits you best. Please let us know how we can make your stay more enjoyable.
Once again, thank you for bringing this matter to our attention so we could address it immediately. Your continued"
Comfortable beds & Pillows - slept great.,Very Positive,enthusiastic and grateful,"Dear Guest,
We're absolutely delighted to hear that you found our beds and pillows comfortable enough for a restful sleep! We take immense pride in providing our guests with a relaxing and rejuvenating stay, and it truly warms our hearts when we receive such positive feedback. Thank you for sharing your experience with us. Your comfort is our top priority, and we hope you continue to enjoy the rest of your stay here at [Hotel Name]. If there's anything else we can assist you with during your visit, please don't hesitate to ask. Once again, thank you for choosing us as your home away from home.
Best Regards,
[Your Name]
Guest Relations Assistant
[Hotel Name]"
"Couple of items, the temperature in our room, 832, would not warm up, it was around 67 deg the entire stay. The fan ran constantly and was fairly loud. I did not mention during our stay because I didn’t want the hassle of someone in and out of our room, and or having to change rooms. The next was a leak in the main roof outside of our room in the corner of the courtyard near room 832, water was dripping pretty fast. This did not effect us as it was outside our room but not a great look for the hotel. We did the buffet, the food was very mediocre, i thought the potatoes were cold and greasy. The omlettes and fruit were good. It took quite a while to get our bill even though it was it not overly crowded. if we stay here again we will not eat the buffet. As long as I am filling this out I will mention the parking, validating the parking all the time is a pain, can’t it somehow be piggyback with the room key.",Slightly Negative,understanding and mildly apologetic,"Dear Guest,
Thank you for taking the time to share your experiences during your recent stay at our hotel. We appreciate your honesty and value your feedback immensely as it helps us improve our services for future guests like yourself.
Firstly, regarding the issue with the heating system in Room 832, we sincerely apologize for any discomfort caused by the inconsistent temperatures throughout your stay. Our maintenance team has been informed about the problem and they will investigate further to ensure that similar issues do not occur in the future. We understand your concerns about disturbing housekeeping for repairs; however, please know that our staff is always ready to help should such situations arise without causing inconvenience to our valued guests. If you wish to discuss possible solutions or changes to your reservation, our Front Desk team is available anytime to assist you.
Secondly, concerning the leakage on the main roof near Room 832, we extend"
"The food in the restaurant was over salted, under cooked and some of it was cold. We waited for more than an hour to be served once our order was placed. The staff was nice and the manager came out and apologized but never once did he ever offer us any sort of compensation. Maybe a free dessert or drinks or even a % off the bill.  Unsatisfactory, will not eat there again, they have lost our service for stays in the future.",Negative,apologetic and solution-focused,"Dear Guest,
Thank you for taking the time to share your experience with us. I'm truly sorry to hear about the issues you encountered during your dining experience at our restaurant. Over-salting, undercooking, and serving cold food is certainly not up to our standards, and we understand that this affected your meal significantly.
Regarding the wait time, we value your patience and understanding while waiting for your order; however, we recognize that the extended delay was unacceptable and should not have occurred. It is our goal to ensure prompt service without compromising the quality of the dishes.
We appreciate the kindness shown by our team members throughout this incident and are grateful for their efforts to address your concerns directly with you. However, we agree that a complimentary offering such as desserts or drinks would have been an appropriate gesture to make amends for the inconvenience caused. Unfortunately, it appears this was overlooked on our part, and we sinc"
"We ordered room service - which we rarely do.  When we checked out, we were surprised there was a $13.19 buffet charge on our $43.80 breakfast room service bill (for which we had a receipt).  Not sure if someone erroneously charged a buffet meal to our room or ???  It was corrected, but in the future we probably won't put our credit card on file for ""incidentals"" to avoid this.  Also, hoping the room we were in will get its table back.  Was awkward to eat without it.",Very Positive,enthusiastic and grateful,"Dear Valued Guest,
Thank you for taking the time to share your experience with us. We appreciate your candid feedback and apologize for any confusion caused by the unexpected charge on your recent stay. Upon investigation, it appears that there may have been an error during the processing of your order. Our team has taken immediate steps to ensure such occurrences are minimized moving forward. The charge has since been corrected, and we hope this does not discourage you from enjoying our room service offerings in the future.
Regarding the missing table in your room, we understand how important it is for guests to feel comfortable while dining in their accommodations. Please accept our apologies for any inconvenience caused, and rest assured that our housekeeping staff will promptly return the table to your room upon their next visit.
We value your patronage and are committed to providing excellent service at all times. If you have any further questions or concerns, please don’t"
Disappointed that someone knocked on our door Christmas morning @ 8:06 am to clean room. We told them to come back. Then we also told the front desk attendant that we would like our room cleaned while we were out for a good 7 hours from 11AM to 6 PM. We came back to an unattended room.   We checked in on Sunday before Christmas  and left Wednesday after Christmas .,Very Negative,deeply apologetic and committed to resolution,"Dear Guest,
Thank you for taking the time to share your experience with us. I'm truly sorry for any inconvenience caused during your stay at our hotel, especially on such a special occasion as Christmas. It was never our intention to disrupt your holiday celebrations by cleaning your room early in the morning.
Upon reviewing your request for housekeeping services between 11 AM and 6 PM, it appears there may have been some miscommunication or error in scheduling. I apologize sincerely for this oversight and the subsequent disappointment it caused.
I understand how important it is to maintain privacy and comfort during your stay, and I want to assure you that we will take steps to ensure this issue does not happen again in the future. Our team values your satisfaction above all else, and I hope you can accept my apologies on behalf of everyone here.
As a token of appreciation for your understanding and patience, please find"
I was so happy you let dogs stay!  My dog is cleaner than my infant and think $100 per stay is still too much.,Very Positive,enthusiastic and grateful,"Dear Guest,
We're absolutely delighted to hear that your furry companion enjoyed their stay with us as much as you did! It truly warms our hearts when guests share such positive experiences at our hotel. We understand that pets can be just as cherished family members and we strive to make them feel welcome during their visit.
Regarding the cost of pet accommodations, we appreciate your feedback and will certainly take it into consideration moving forward. Our goal is always to provide exceptional service while maintaining fair pricing for all our valued guests. For now, please rest assured that if you choose to bring your pet again, they will continue to receive the warm welcome and care they deserve from our team.
Thank you once more for taking the time to share your thoughts with us – it helps us continuously improve and ensure a comfortable environment for both humans and their beloved four-legged friends alike. We look forward to welcoming you back soon!
Warm regards"
"Wonderful stay!  We stopped in the bar our first night and it was pretty dead in there (right before Christmas), but the bartender was awesome and we all watched Elf together :)
The room was great as usual, just like I remembered from my childhood, but updated!
We didn't have the breakfast there because it's a bit different than we remembered.  It's now an additional charge to the room and the set up is different.  I'm sure it's tasty but we opted out of it.",Positive but Critical,appreciative but attentive to concerns,"Dear Guest,
Thank you for taking the time to share your valuable feedback with us. We're thrilled to hear that you had a wonderful stay at our hotel and particularly enjoyed the company during your visit to our bar! The holiday season can be quite busy, so we appreciate your understanding when our bar might not always be bustling. Our team truly appreciates interactions like the one you described with guests, making memories over movies such as Elf.
It sounds like the rooms lived up to your expectations, which means a lot to us given their historical significance for you. We're glad they met your needs while still providing modern updates.
Regarding the change in our breakfast offerings, thank you for bringing this to our attention. While we understand that changes may sometimes lead to differences in experience, we apologize if it affected your decision to partake. If you ever decide to try our current breakfast options, please let us know – we would love to"
I wasn’t notified about $7 parking fee until check in. Couldn’t find anything about it on website nor was the info provided when making the reservation. This is first experience I’ve had with any hotel where they weren’t upfront about parking costs online and during reservation process.,Mixed or Neutral,balanced and professional,"Dear Guest,
Thank you for taking the time to share your valuable feedback with us. We sincerely apologize for any inconvenience caused due to the lack of clear communication regarding our parking fees. Our goal is always to provide transparency throughout the booking and stay process, and we understand that this did not occur in your case.
We will take immediate steps to update our website and reservation system to ensure that all guests are informed about parking charges before or at the time of their reservation. We appreciate your understanding as we work towards improving our processes.
In light of this issue, we would like to offer you a complimentary day of parking during your next visit to make amends for any frustration experienced. Please contact our reservations team directly so they can assist you with scheduling your next stay and applying the discount.
Once again, thank you for bringing this matter to our attention, and please accept our apologies. Your satisfaction is important"
"We specifically asked at check in what time breakfast was served and the desk person said 7 am to 10 am.  We got to the buffet at 9:30 the next morning and we're told it cloed at 9:30 and they would not serve us.  When I complained at checkout the girl at the desk said, ""I'm sorry about that.  Our breakfast is really good!"". Not pleased with the misinformation and the response I got.",Positive but Critical,appreciative but attentive to concerns,"Dear Guest,
Thank you for taking the time to share your experience with us. I apologize sincerely for any inconvenience caused by the misunderstanding regarding our breakfast hours during your stay. The information provided at check-in should accurately reflect our service times, and it appears there may have been an error on this occasion.
We understand how disappointing it can be when plans are disrupted due to incorrect or unclear information, especially when it involves something as important as breakfast. To make up for this unfortunate incident, we would like to offer you a complimentary meal at our restaurant during your remaining stay or upon future visits.
To prevent similar situations from happening again, we will ensure that all team members receive additional training on providing clear and accurate information about our services. Your feedback has been valuable in helping us improve our operations and customer service.
Once again, we deeply regret this oversight and hope you find the rest of your stay enjoyable."
Great room.,Very Positive,enthusiastic and grateful,"Dear Guest,
Thank you so much for taking the time to share your feedback with us! We're absolutely thrilled to hear that you found our room to be great. Your satisfaction is of utmost importance to us and we're glad that we could meet your expectations during your stay. If there's anything else you need or if there's any way we can improve your experience further, please don't hesitate to let us know.
We look forward to welcoming you again soon!
Best Regards,
[Your Name]
Hotel Guest Relations Team"
Our favorite hotel in Green Bay. We have stayed here more than any hotel we've ever frequented. It has everything we need and is in close proximity to everything we want to do.,Very Positive,enthusiastic and grateful,"Dear Valued Guest,
We are absolutely delighted to hear that our hotel in Green Bay is your all-time favorite! Your loyalty to us truly warms our hearts. It's a pleasure to know that you find our services and location so accommodating to your needs and interests. We strive to provide an exceptional experience for each of our guests, and it seems we're on the right track with you. Thank you for choosing us for your stays and making memories at our hotel. We look forward to welcoming you back soon!
Best Regards,
[Your Name]
Hotel Guest Relations Assistant"
Will be staying again 12/28/18  Could use 2 extra pillows.. We are big pillow people.. usually other places have 2 extra tucked away in closet. But not here.. All else good.. See you on the 28th..;)  And did not show up on bed bug list...  Important..,Very Positive,enthusiastic and grateful,"Dear Valued Guest,
We're absolutely delighted to hear that your stay with us was overall satisfying and you plan to return! Your comfort is our utmost priority, which is why we appreciate your feedback regarding the additional pillows. Our team will ensure that upon your arrival for your next visit, two extra pillows will be provided in your room, conveniently placed in the closet as per your preference.
Rest assured, the cleanliness of our rooms, including thorough inspections for any unwanted visitors like bed bugs, is always at the top of our agenda. It brings us great relief to know that you were not included on such a list during your recent stay. We take this matter very seriously and continue to maintain high standards to protect both our guests and staff alike.
Thank you once again for taking the time to share your thoughts with us. We look forward to welcoming you back on December 28th and providing an even more enjoyable"
