Original_Feedback,Generated_Summary,Labeled_Sentiment
Room was very dated.  Definitely did not meet the expectations I have for a Hyatt property.   Lobby area was nice but rooms were very dated and appeared dirty.   We would not even sit on the couch in the room.,"The guest finds the hotel room in a Hyatt property outdated and unsanitary, specifically mentioning the state of the lobby area as acceptable but the condition of the rooms as unacceptable, going as far as avoiding sitting on the provided couches due to their perceived dirtiness.",Negative
"Had a wonderful stay and would be happy to stay longer if I ever need to.  The facility does show some wear here and there, nothing major or worth specifically calling out.  Overall everything for my stay was great","The guest had a positive experience during their stay and appreciated the accommodation. However, minor signs of wear were noticed throughout the facility.",Very Positive
I'd definitely like to keep booking the same type of room going forward,The individual prefers to continue reserving the same type of room in future bookings.,Very Positive
"My fiancé and I booked the Hyatt in Green Bay, WI, because we had previously stayed at a Hyatt in Chicago, IL-- and loved it. We are very displeased with our stay in at the Hyatt, in WI, and will not be returning. 
Here are a few things, which have steered our stay to other locations moving forward.
1. The room was not clean. We arrived and paid for early check in-- yet got put in a room that had dust all over the place.
2. The tv had a burn mark. 
3. The carpet had a wrinkle in it, between the sliding door and bed, causing me to trip in the middle of the night. 
4. Went to look in the brochure to find the floor in which the laundry room was, and the brochure appeared to be half eaten by an animal-- therefore we had to call the lobby for them to tell us, what we should have been able to know without calling. That's the whole point of a brochure in a guest room. Very inconvenient. 
5. The view that we had was horrendous. Opening our curtains, to find we had a beautiful view of the AC units. 
6. We paid extra for the morning breakfast. Upon arrival, there was no host. We asked a server and she said ""seat yourself, and someone will come get your drinks."" We did just that. And 10 minutes went by. We had to get up not just once, but twice to get our drinks. That is terrible service and very  unacceptable. 

Like stated above, we will not be returning to the Hyatt Hotels. The many inconveniences and awful service in the dining area, have made up our mind, that we will in fact take our money elsewhere and stay where we feel we are appreciated.

Thank you, 

Dillon Jones","Dillon Jones shares their negative experience staying at the Hyatt Hotel in Green Bay, Wisconsin. Issues included a dirty room upon early check-in, damaged TV and carpet, lack of information in the brochure, poor view, and poor service during breakfast. As a result, they will not return to Hyatt Hotels and plan to spend their future stays elsewhere.",Very Negative
"Quality of service was good, but there is always a room for improvement. A smile on their face and saying good morning and good afternoon when ever people approach them it will make it more personal for people to come back an stay at your facility.",Improving customer service by adding personal touches such as greeting guests warmly with a smile and addressing them during their visits could enhance guest experience and encourage repeat visits at the facility.,Very Positive
"Try having free coffee and breakfast for your guest. Before booking on travel, it said free breakfast and that's why we booked. We are busy and not have time for stopping another place for breakfast.  We travel a lot on business and use lot hotels around the country. This was first time Hyatt experience in Green Bay and will be the last.",Traveler had a negative experience with Hyatt hotel in Green Bay as they did not provide the promised free breakfast during their stay while traveling for business. This incident has led them to decide against future stays at Hyatt properties.,Very Negative
"During the stay I was suffering with a cold. So to have a room that could not have the temperature changed was not well. The loudness of the room heater was loud and disrupted sleep most every time is cycled and eventually the first night I slept on the sofa. On the second night, when I arrived in the room, the heater unit would not shut down, running constantly. Contacted the front desk for assistance, and the only thing offered would be to completely shut it off. That night I simply closed to the bedroom area and slept again on the sofa. Finally in the morning the unit shut off. But the room was no where to be considered 'warm'.
Meals: used the morning breakfast buffet; the first morning I noticed that the scrambled eggs were just 'warm' at best. The hash browns were also on the cool side. Butter was very hard and made it a challenge to spread on the toast. The second morning I went for the hash browns, pancakes and bacon. The hash browns were past cool to being simply cold as were the pancakes which of course could not melt that rock hard butter. The bacon at best was barely warm. Coffee however was fine.
The Breakout Conference Hall was chilly and several attendees wore sweaters or jackets.
Nice looking, clean facility, but wasn't that warm fuzzy feeling. 
Upon check out, the desk clerk was gracious and provided a discount for the room and meal. Thank you for that.","During their stay, the guest suffered from a cold exacerbated by a noisy and disruptive room heater. Sleeping arrangements had to be adjusted multiple times due to issues with the heater. Meals at the hotel's breakfast buffet were consistently undercooked or served lukewarm, making them unenjoyable. The conference hall was also chilly. Despite these inconveniences, the guest appreciated the discount offered during check-out.",Mixed or Neutral
Justine was also pleasant to work with when checking out.,Justine was described as being pleasant during a checkout process at work.,Very Positive
"Late check in because room was not cleaned yet - never received a text to alert me.
Pool didn't open until 8am - I had planned to lap swim in the morning before the conference.  
As part of our conference, everyone was supposed to have received breakfast tickets at check in - I did not.","The guest experienced issues upon arrival due to a late room clean-up without notification, missed their scheduled early morning pool access for swimming, and did not receive the promised breakfast ticket as part of the conference package.",Slightly Negative
Loved the pool and hot tub,Participants expressed enjoyment towards the pool and hot tub experience.,Very Positive
Very nice.,"The conversation consists only of one sentence ""Very nice."" without any context provided. It is not possible to provide a meaningful summary based solely on this statement.",Positive but Critical
Toilets are way too short.  Maintenance man coming out of the pool area was rude,The speaker finds the toilets too short and encounters rudeness from the maintenance man upon his exit from the pool area.,Positive but Critical
Only issue for me was the slow elevators.,The speaker encountered a problem with slow elevators during their visit/stay/activity (context not provided).,Very Positive
I was quite disappointed in the quality of items... our bathroom had two wash clothes one white one black. The white one literally fell apart as I was using it. We had 2 shampoos and no body wash. No coffees. I understand that these are extremely petty but we have noticed a lack of attention to details the last few visits. However the staff was amazing this time which was an issue in the past.,"The speaker expressed disappointment with the quality of items during their stay, specifically mentioning issues with bath towels, shampoo, and coffee. Despite positive interactions with the staff, they noted a pattern of neglect towards small details in recent visits.",Slightly Negative
So disappointed as this isn’t what I have experienced at this hotel before. I have been going there since I was little and now I would think twice of ever going back for special occasions. Most of the staff was pleasant but the true care factor was a complete miss.,"The speaker has had a disappointing experience at a previously enjoyed hotel during a special occasion. Despite most staff being friendly, the lack of genuine care was noticeable, leading them to reconsider returning to the establishment in future.",Very Negative
Parking rate is reasonable. Thank you.,The speaker appreciates the parking rate as being reasonable.,Positive but Critical
"Always a favorite place to stay in Green Bay. Room and 95 % of hotel looked immaculate. Sandwich/ wrap options in the snack bar or ""grab and go"" area could be brought up a notch. Variety and amount of what's between the bread. Pool area was other 5% that needed cleaning up. (same empty beverage glasses that were on the ledge, in 2 different spots, we're there on Saturday night and still there Monday morning..)","The guest praises most aspects of their stay in Green Bay, finding the room and hotel clean except for the pool area which needs improvement due to leftover beverage glasses remaining from Saturday night until Monday morning. Suggestions include enhancing sandwich/wrap options in the snack bar or grab-and-go section.",Very Positive
Kind of rundown.,The conversation involves individuals discussing a seemingly run-down state or condition without specific details provided.,Mixed or Neutral
There were only Pepsi products in the convenience store area.,Only Pepsi products were available in the convenience store section.,Very Positive
"Breakfast experience was disappointing. One day the service was great the next we sat and waited both for our order to be taken and then for it to be served for an hour. Manager comped the breakfast. No complaint with the quality of the food, very good.","The conversation discusses a inconsistent dining experience at a restaurant where the service was poor (long wait times), while the food quality was commendable. The manager compensated for the inconvenience caused by offering a free meal.",Positive but Critical
My room was on the warm side so I did not sleep the best.  I should have turned the heat down. I will know better next time.,The speaker had trouble sleeping due to their room being too warm. They realize they should have adjusted the temperature lower and promise to make better decisions regarding heating in future nights.,Very Positive
"Disappointed in the facilities.  Outdated, in disrepair in some instances; service in the restaurant was sub par-cold toast, dry omelets.  One server!","The speaker expressed dissatisfaction with the outdated and poorly maintained facilities, citing specific issues such as cold toast and dry omelettes in the restaurant. Additionally, only one server was mentioned, which contributed to poor service.",Very Negative
$25 fee to checkin when my room was available is insane. Bar staff was terrible.,"The customer finds a $25 check-in fee unreasonable as their room was already available, and they also criticize the bar staff for poor service.",Mixed or Neutral
"Very nice stay in GB, will be back!",The speaker had a pleasant visit to Great Britain and plans to return.,Very Positive
"Front desk, bar/restaurant and store staff were amazing. They were kind, considerate, helpful and pleasant. I stay there often and they are ALWAYS that way.","The speaker frequently visits a bar/restaurant and finds the staff consistently friendly, kind, helpful, and pleasant.",Very Positive
Enforce the pool rules of no kids after 10 pm.,Rules enforced for the pool area: no children allowed past 10 PM.,Positive but Critical
No breakfast is bad.  Breakfast options in hotel was expensive and relatively mediocre.,The conversation discusses dissatisfaction with the costly and average quality breakfast options available at a hotel.,Positive but Critical
